chemin, class, methode, methode_CLOC, methode_LOC, methode_DC	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java, XYAnnotationBoundsInfo, getIncludeInDataBounds, 3.0, 4.0, 0.75	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java, XYAnnotationBoundsInfo, getXRange, 3.0, 4.0, 0.75	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, XYBoxAnnotation_double_double_double_double, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, XYBoxAnnotation_double_double_double_doubleXYBoxAnnotation_double_double_double_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, XYBoxAnnotation_double_double_double_doubleXYBoxAnnotation_double_double_double_double, 0.0, 11.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, draw_Graphics2D_XYPlot_Rectangle2Ddraw_Graphics2D_XYPlot_Rectangle2D_ValueAxis, 0.0, 34.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, equals_Object, 2.0, 36.0, 0.055555556	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, hashCode, 0.0, 13.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, clone, 0.0, 3.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, writeObject_ObjectOutputStream, 0.0, 6.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java, XYDataImageAnnotation, XYDataImageAnnotation_Image_double_double_doubleXYDataImageAnnotation_Image_double_double_double, 0.0, 4.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java, XYDataImageAnnotation, XYDataImageAnnotation_Image_double_double_doubleXYDataImageAnnotation_Image_double_double_double, 0.0, 11.0, 0.0	
